stop_id,station_name,direction,towards,door_side,best_coach,best_position_in_coach,exit_used,notes
ALVA,Aluva,0,Tripunithura,,,,,
ALVA,Aluva,1,Aluva,,,,,
PNCU,Pulinchodu,0,Tripunithura,,,,,
PNCU,Pulinchodu,1,Aluva,,,,,
CPPY,Companypady,0,Tripunithura,,,,,
CPPY,Companypady,1,Aluva,,,,,
ATTK,Ambattukavu,0,Tripunithura,,,,,
ATTK,Ambattukavu,1,Aluva,,,,,
MUTT,Muttom,0,Tripunithura,,,,,
MUTT,Muttom,1,Aluva,,,,,
KLMT,Kalamassery,0,Tripunithura,,,,,
KLMT,Kalamassery,1,Aluva,,,,,
CCUV,Cochin University,0,Tripunithura,,,,,
CCUV,Cochin University,1,Aluva,,,,,
PDPM,Pathadipalam,0,Tripunithura,,,,,
PDPM,Pathadipalam,1,Aluva,,,,,
EDAP,Edapally,0,Tripunithura,,,,,
EDAP,Edapally,1,Aluva,,,,,
CGPP,Changampuzha Park,0,Tripunithura,,,,,
CGPP,Changampuzha Park,1,Aluva,,,,,
PARV,Palarivattom,0,Tripunithura,,,,,
PARV,Palarivattom,1,Aluva,,,,,
JLSD,JLN Stadium,0,Tripunithura,,,,,
JLSD,JLN Stadium,1,Aluva,,,,,
KALR,Kaloor,0,Tripunithura,,,,,
KALR,Kaloor,1,Aluva,,,,,
TNHL,Town Hall,0,Tripunithura,,,,,
TNHL,Town Hall,1,Aluva,,,,,
MGRD,MG Road,0,Tripunithura,,,,,
MGRD,MG Road,1,Aluva,,,,,
MACE,Maharajas College,0,Tripunithura,,,,,
MACE,Maharajas College,1,Aluva,,,,,
ERSH,Ernakulam South,0,Tripunithura,,,,,
ERSH,Ernakulam South,1,Aluva,,,,,
KVTR,Kadavanthra,0,Tripunithura,,,,,
KVTR,Kadavanthra,1,Aluva,,,,,
EMKM,Elamkulam,0,Tripunithura,,,,,
EMKM,Elamkulam,1,Aluva,,,,,
VYTA,Vyttila,0,Tripunithura,,,,,
VYTA,Vyttila,1,Aluva,,,,,
THYK,Thykoodam,0,Tripunithura,,,,,
THYK,Thykoodam,1,Aluva,,,,,
PETT,Pettah,0,Tripunithura,,,,,
PETT,Pettah,1,Aluva,,,,,
VAKK,Vadakkekotta,0,Tripunithura,,,,,
VAKK,Vadakkekotta,1,Aluva,,,,,
SNJN,SN Junction,0,Tripunithura,,,,,
SNJN,SN Junction,1,Aluva,,,,,
TPHT,Tripunithura,0,Tripunithura,,,,,
TPHT,Tripunithura,1,Aluva,,,,,
