stop_id,station_name,exit_count,exit_labels,exit_landmarks,street_to_platform_sec,platform_to_street_sec,security_queue_typical_sec,has_lift,has_escalator,step_free_end_to_end,notes
ALVA,Aluva,,,,,,,,,,
PNCU,Pulinchodu,,,,,,,,,,
CPPY,Companypady,,,,,,,,,,
ATTK,Ambattukavu,,,,,,,,,,
MUTT,Muttom,,,,,,,,,,
KLMT,Kalamassery,,,,,,,,,,
CCUV,Cochin University,,,,,,,,,,
PDPM,Pathadipalam,,,,,,,,,,
EDAP,Edapally,,,,,,,,,,
CGPP,Changampuzha Park,,,,,,,,,,
PARV,Palarivattom,,,,,,,,,,
JLSD,JLN Stadium,,,,,,,,,,
KALR,Kaloor,,,,,,,,,,
TNHL,Town Hall,,,,,,,,,,
MGRD,MG Road,,,,,,,,,,
MACE,Maharajas College,,,,,,,,,,
ERSH,Ernakulam South,,,,,,,,,,
KVTR,Kadavanthra,,,,,,,,,,
EMKM,Elamkulam,,,,,,,,,,
VYTA,Vyttila,,,,,,,,,,
THYK,Thykoodam,,,,,,,,,,
PETT,Pettah,,,,,,,,,,
VAKK,Vadakkekotta,,,,,,,,,,
SNJN,SN Junction,,,,,,,,,,
TPHT,Tripunithura,,,,,,,,,,
